id,filename,artist,title,year
213,00213.jpeg,Studio Olafur Eliasson,Inverted Panorama House,2004
214,00214.jpeg,Studio Olafur Eliasson,Umschreibung,2004
215,00215.jpeg,Studio Olafur Eliasson,Umschreibung,2004
216,00216.jpeg,Studio Olafur Eliasson,1 M3 Light,1999
217,00217.jpeg,Studio Olafur Eliasson,Reimagine (Large Version),2002
218,00218.jpeg,Studio Olafur Eliasson,I Believe,1992
219,00219.jpeg,Studio Olafur Eliasson,Negative Quasi Brick Wall,2003
220,00220.jpeg,Studio Olafur Eliasson,Global Cooling Lamp,2006
221,00221.jpeg,Studio Olafur Eliasson,Your Rainbow Panorama,2006
222,00222.jpeg,Studio Olafur Eliasson,Your Rainbow Panorama,2006
223,00223.jpeg,Yoko Ono,Sky Piece V,2013
224,00224.jpeg,Yoko Ono,Life Piece III,2013
225,00225.jpeg,Yoko Ono,Cleaning Piece VI,2013
226,00226.jpeg,Yoko Ono,Sound Piece X,2013
227,00227.jpeg,Yoko Ono,Wish Piece VI,2013
228,00228.jpeg,Kaws,Permanant Thirty-Three,2008
229,00229.jpeg,Kaws,Untitled (Warm Regards),2005
230,00230.jpeg,Kaws,Untitled (Original Fake),2007
231,00231.jpeg,Kaws,Permanent Thirty-Three,2008
232,00232.jpeg,Kenny Scharf,Peas N Butter,2006
233,00233.jpeg,Ettore Sotsass,Page From Room East 128 Chronicle,1962
234,00234.jpeg,Ettore Sotsass,Plates Dedicated To Shiva,1964
235,00235.jpeg,Ettore Sotsass,Logos 27 Mechanical Calculator,1965
236,00236.jpeg,Ettore Sotsass,Chi Ha Paura Di Frank Lloyd Wright?,1976
237,00237.jpeg,Ettore Sotsass,"Adjustable Typist Chair, Sistema 45",1973
238,00238.jpeg,Ettore Sotsass,Jewlery Design,1963
239,00239.jpeg,Ettore Sotsass,Mobili Neri For Ernest Mourmans,2003
240,00240.jpeg,Ettore Sotsass,"Yuko House, Tokyo",1992
241,00241.jpeg,Ettore Sotsass,"Esprit Showroom, Dusseldorf",1986
242,00242.jpeg,Ettore Sotsass,"Esprit Showroom, Dusseldorf",1986
243,00243.jpeg,Ettore Sotsass,Small Coffee Table,1947
244,00244.jpeg,Ettore Sotsass,Wire Fruit Bowl,1952
245,00245.jpeg,Ettore Sotsass,Praxis 48,1964
246,00246.jpeg,Ettore Sotsass,Lettera DL,1965
247,00247.jpeg,Max Bill,Design Made From A Series Of Cirlces,1942
248,00248.jpeg,Michael Huet,Dance,1964
249,00249.jpeg,Davide Boriani,Magnetic Surface,1962
250,00250.jpeg,Anish Kapoor,1000 Names,1985
251,00251.jpeg,Anish Kapoor,Pot For Her,1985
252,00252.jpeg,Anish Kapoor,Whiteout,2004
253,00253.jpeg,Anish Kapoor,Descent Into Limbo,1992
254,00254.jpeg,Anish Kapoor,At The Edge Of The World,1998
255,00255.jpeg,Anish Kapoor,Untitled,2008
256,00256.jpeg,Anish Kapoor,Untitled,2009
257,00257.jpeg,Anish Kapoor,Sky Mirror,2006
258,00258.jpeg,Anish Kapoor,Sky Mirror,2007
259,00259.jpeg,Anish Kapoor,Drop,2008
260,00260.jpeg,Anish Kapoor,Untitled,2008
261,00261.jpeg,Anish Kapoor,Vertigo,2006
262,00262.jpeg,Anish Kapoor,C-Curve,2007
263,00263.jpeg,Anish Kapoor,Untitled,1996
264,00264.jpeg,Anish Kapoor,Eternal Bonds,1977
265,00265.jpeg,Kenny Scharf,Chunk Pack No. 3,1983
266,00266.jpeg,Kenny Scharf,Quality Dope,2005
267,00267.jpeg,Kenny Scharf,Automatic Mosnter,2006
268,00268.jpeg,Kenny Scharf,Milk Chocolate Donut At The Edge Of Space,2007
269,00269.jpeg,Kenny Scharf,Islandia Vegetado,2007
270,00270.jpeg,Enzo Mari,Structure No. 969,1974
271,00271.jpeg,Babette Mangolte,"Trisha Brown, Locus",1975
272,00272.jpeg,Sol Lewitt,Incomplete Open Cube,1974
273,00273.jpeg,Sol Lewitt,"Installation, Daniels Gallery",1965
274,00274.jpeg,Sol Lewitt,Star (3 Pointed),1990
275,00275.jpeg,Maison Martin Margiela,Makeup Design,2003
276,00276.jpeg,Maison Martin Margiela,2005 Lookbook,2005
277,00277.jpeg,Maison Martin Margiela,List Of Colors Applied On Women'S Fingertips,1992
278,00278.jpeg,Maison Martin Margiela,Studio,1994
279,00279.jpeg,Maison Martin Margiela,Fluorescent Yellow Turtleneck,2008
280,00280.jpeg,Maison Martin Margiela,Cork Necklace,1999
281,00281.jpeg,Maison Martin Margiela,Artisanal Jacket,2008
282,00282.jpeg,Maison Martin Margiela,London Store,2004
283,00283.jpeg,Maison Martin Margiela,Fur Jacket Made Out Of Blonde Wigs,2008
284,00284.jpeg,Takashi Murakami,And Then X 6 (Blue),2012
285,00285.jpeg,Takashi Murakami,Pink-Time,2008
286,00286.jpeg,Takashi Murakami,Infinity,2008
287,00287.jpeg,Takashi Murakami,Kansei Korin Red Stream,2009
288,00288.jpeg,Takashi Murakami,Pom & Me (Gold),2010
289,00289.jpeg,Sarina Brewer,Mother'S Little Helper Monkey,2005
290,00290.jpeg,Kentaro Nishino,Family,2009
291,00291.jpeg,Ute Lennars Lembeck,Weeping Willow,2011
292,00292.jpeg,Such Initiative,B.E.E.S.,2011
293,00293.jpeg,Haroshi,Hammerhead,2011
294,00294.jpeg,Marco Evaristti,Pink State Project,2007
295,00295.jpeg,Tilt & Mist,Target 5,2010
296,00296.jpeg,Takeo Okamoto,Icy DJ,2008
297,00297.jpeg,Raphel,Transfiguration,1516
298,00298.jpeg,James Logan,The Clans Of The Scottish Highlands,1857
299,00299.jpeg,Ernst Haeckel,Siphonophorae,1899
300,00300.jpeg,Alexander Mcqueen,"Detail Of Coat, Voss, Spring/Summer ",2001
301,00301.jpeg,Juan Valverde De Amuscio,Plate 95,1550
302,00302.jpeg,Sam Taylor-Johnson/Alexander Mcqueen,For Another Mag Autum/Winter,2002
303,00303.jpeg,John Pawson,"St Tropez, Provence France",2015
304,00304.jpeg,John Pawson,"Mayfair, London",2015
305,00305.jpeg,John Pawson,"Knokke, Belgium",2005
306,00306.jpeg,John Pawson,"Notting Hill, London",2017
307,00307.jpeg,John Pawson,Kew London,2016
308,00308.jpeg,Unknown,Plate From The Book Of Nature,1482
309,00309.jpeg,Louisa Howard,Tomato,2011
310,00310.jpeg,Ebenezer Sibly,Plant And Herbs,1789
311,00311.jpeg,Magdalena Turzanska,Lepidozia Reptans,2013
312,00312.jpeg,Giacometti,Suspended Ball,1930
